Complaint_ID,Date,Product,Complaint_Text,Simulated_Category
ed461f20,2024-11-09,Tablet X,Label shows out-of-spec condition.,Temperature
ecb79b37,2024-08-06,Tablet X,Unusual odor detected from bottle.,Contamination
8ccdf492,2025-01-21,Ointment C,Patient reported no improvement after dosage.,Efficacy
b4fb67a8,2024-10-20,Vaccine A,Packaging seal broken on arrival.,Packaging
80887dfd,2024-07-01,Injection Z,Dose seemed sub-potent.,Efficacy
0078e702,2024-11-19,Tablet X,Swelling reported at injection site.,Adverse Reaction
62a1331d,2025-05-23,Ointment C,"Liquid leaked from cap, contamination risk noted.",Packaging
6079e52e,2024-09-21,Injection Z,"Outer carton damaged, inner contents intact.",Packaging
71c203df,2025-02-15,Injection Z,Unexpected allergic reaction occurred.,Adverse Reaction
98db1461,2025-04-04,Tablet X,Unclear sediment floating in solution.,Contamination
a5c699f1,2024-10-24,Vaccine A,Swelling reported at injection site.,Adverse Reaction
b28e6216,2024-10-12,Tablet X,Response time delayed significantly.,Efficacy
7ba85ade,2025-02-20,Ointment C,"Outer carton damaged, inner contents intact.",Packaging
8c418253,2024-09-09,Ointment C,Cold chain break suspected during transit.,Temperature
68ba94c6,2025-04-21,Injection Z,Tablet shows signs of mold.,Contamination
8045bdf4,2025-04-13,Ointment C,"Vial cracked upon opening, leakage observed.",Packaging
61e2fa69,2024-10-24,Tablet X,Unusual odor detected from bottle.,Contamination
9181a11d,2025-05-06,Ointment C,Patient reported no improvement after dosage.,Efficacy
76aa44bf,2025-03-28,Vaccine A,"Vial cracked upon opening, leakage observed.",Packaging
2b039929,2024-10-22,Ointment C,Unusual odor detected from bottle.,Contamination
9dcfd7ec,2025-01-03,Tablet X,Patient fainted shortly after use.,Adverse Reaction
8d966205,2024-10-09,Ointment C,Cold chain break suspected during transit.,Temperature
fc0cacc1,2024-10-29,Tablet X,Rash developed after second dose.,Adverse Reaction
5f58118b,2024-09-18,Ointment C,Therapeutic effect not observed as expected.,Efficacy
0c2f7af8,2025-01-17,Injection Z,Visible black speck inside ampoule.,Contamination
5b386b7b,2025-01-30,Ointment C,Label shows out-of-spec condition.,Temperature
9e3f067e,2024-10-20,Vaccine A,Product received above storage temperature range.,Temperature
39e60b65,2024-09-09,Vaccine A,Missing tamper-evident seal on multiple units.,Packaging
8ff47084,2024-09-27,Vaccine A,"Vial cracked upon opening, leakage observed.",Packaging
958a44bb,2024-08-11,Ointment C,Label shows out-of-spec condition.,Temperature
5165e08e,2024-10-10,Tablet X,Unexpected allergic reaction occurred.,Adverse Reaction
c74fc5d4,2024-06-23,Tablet X,Dose seemed sub-potent.,Efficacy
62ab4d38,2024-06-20,Injection Z,Foreign particle seen in vial.,Contamination
92ac9f9a,2025-02-17,Tablet X,Tablet shows signs of mold.,Contamination
43edece2,2024-09-08,Ointment C,Ineffective compared to prior lot.,Efficacy
1732008c,2024-08-12,Vaccine A,Rash developed after second dose.,Adverse Reaction
7635003f,2024-08-08,Ointment C,Product received above storage temperature range.,Temperature
2fc2d591,2024-12-28,Ointment C,Swelling reported at injection site.,Adverse Reaction
c037f5a6,2025-02-12,Ointment C,Patient experienced nausea post administration.,Adverse Reaction
2a4f0d79,2024-12-17,Tablet X,Visible black speck inside ampoule.,Contamination
32ddb2ec,2024-06-11,Injection Z,Packaging seal broken on arrival.,Packaging
665c3a55,2025-02-14,Tablet X,Product received above storage temperature range.,Temperature
8d3790e2,2024-11-18,Injection Z,Swelling reported at injection site.,Adverse Reaction
b48c104e,2024-10-19,Tablet X,Vaccine arrived warm to touch.,Temperature
33bb6501,2025-01-20,Vaccine A,Foreign particle seen in vial.,Contamination
6efa1949,2025-03-21,Vaccine A,"Outer carton damaged, inner contents intact.",Packaging
0a01d768,2025-03-22,Ointment C,Rash developed after second dose.,Adverse Reaction
0f6ca8d3,2025-04-22,Injection Z,Patient fainted shortly after use.,Adverse Reaction
5dad0a4b,2024-07-20,Injection Z,Patient fainted shortly after use.,Adverse Reaction
ad737e32,2025-05-01,Vaccine A,Temperature logger flagged deviation.,Temperature
40d214b6,2024-10-19,Vaccine A,Vaccine arrived warm to touch.,Temperature
b2cd49a5,2025-03-06,Ointment C,Vaccine arrived warm to touch.,Temperature
5585e51d,2024-08-05,Vaccine A,Patient fainted shortly after use.,Adverse Reaction
3958ae6e,2024-06-24,Vaccine A,Therapeutic effect not observed as expected.,Efficacy
1839d417,2025-04-01,Vaccine A,"Vial cracked upon opening, leakage observed.",Packaging
085ae4b4,2024-10-07,Tablet X,Unexpected allergic reaction occurred.,Adverse Reaction
88fcea90,2024-08-21,Ointment C,Temperature logger flagged deviation.,Temperature
6c0d266a,2025-04-09,Injection Z,Foreign particle seen in vial.,Contamination
aaf25c0f,2025-05-05,Ointment C,Patient fainted shortly after use.,Adverse Reaction
a334bbc6,2024-12-21,Injection Z,Unusual odor detected from bottle.,Contamination
93f05d7a,2024-08-23,Injection Z,Unexpected allergic reaction occurred.,Adverse Reaction
42f1bea3,2025-03-31,Injection Z,Dose seemed sub-potent.,Efficacy
bb6cca5d,2025-04-04,Tablet X,"Liquid leaked from cap, contamination risk noted.",Packaging
5fd6495b,2024-07-16,Ointment C,Missing tamper-evident seal on multiple units.,Packaging
f306f1e3,2025-02-05,Ointment C,Temperature logger flagged deviation.,Temperature
fd298808,2025-04-05,Vaccine A,Product received above storage temperature range.,Temperature
93456cbc,2024-06-17,Tablet X,Therapeutic effect not observed as expected.,Efficacy
34fb6484,2025-04-10,Vaccine A,Swelling reported at injection site.,Adverse Reaction
4769404d,2025-03-06,Vaccine A,Unclear sediment floating in solution.,Contamination
977ecdef,2025-03-16,Injection Z,"Vial cracked upon opening, leakage observed.",Packaging
dbfb08f0,2024-11-16,Injection Z,Patient fainted shortly after use.,Adverse Reaction
8a2aa87f,2024-11-28,Vaccine A,Label shows out-of-spec condition.,Temperature
d6b9a609,2025-03-31,Vaccine A,Missing tamper-evident seal on multiple units.,Packaging
af0eb84b,2025-01-06,Tablet X,"Vial cracked upon opening, leakage observed.",Packaging
1666e313,2024-11-03,Ointment C,Ineffective compared to prior lot.,Efficacy
8d99a0f2,2024-10-27,Injection Z,Unusual odor detected from bottle.,Contamination
192793d8,2024-09-25,Tablet X,Packaging seal broken on arrival.,Packaging
d4991f8e,2024-07-07,Injection Z,Vaccine arrived warm to touch.,Temperature
027c6c79,2025-02-03,Ointment C,"Outer carton damaged, inner contents intact.",Packaging
f50a9cfc,2025-05-28,Ointment C,Rash developed after second dose.,Adverse Reaction
e3768e37,2024-07-26,Tablet X,Patient experienced nausea post administration.,Adverse Reaction
fd166635,2025-04-25,Tablet X,Temperature logger flagged deviation.,Temperature
2b45a89e,2024-08-29,Injection Z,Therapeutic effect not observed as expected.,Efficacy
ddeed9a3,2024-06-13,Injection Z,Ineffective compared to prior lot.,Efficacy
fb686fca,2024-08-15,Vaccine A,Label shows out-of-spec condition.,Temperature
32d2f623,2025-03-26,Tablet X,Temperature logger flagged deviation.,Temperature
93496c20,2024-10-19,Injection Z,Unusual odor detected from bottle.,Contamination
c4bd19c2,2024-06-09,Ointment C,Unusual odor detected from bottle.,Contamination
723b6130,2024-10-31,Tablet X,Packaging seal broken on arrival.,Packaging
57a065f5,2025-06-03,Tablet X,Foreign particle seen in vial.,Contamination
bdb706f3,2025-05-03,Injection Z,Tablet shows signs of mold.,Contamination
e1bcc6d3,2024-11-11,Vaccine A,Ineffective compared to prior lot.,Efficacy
b1c041e1,2025-03-13,Tablet X,"Vial cracked upon opening, leakage observed.",Packaging
c94498d0,2025-01-20,Tablet X,Patient experienced nausea post administration.,Adverse Reaction
e4e92295,2025-04-25,Ointment C,Label shows out-of-spec condition.,Temperature
90881070,2024-07-08,Vaccine A,Unclear sediment floating in solution.,Contamination
67eb8040,2024-11-05,Vaccine A,Vaccine arrived warm to touch.,Temperature
29eac0d4,2025-04-17,Vaccine A,Visible black speck inside ampoule.,Contamination
6402b87f,2025-01-19,Injection Z,Unclear sediment floating in solution.,Contamination
b8e5b413,2025-06-03,Injection Z,"Liquid leaked from cap, contamination risk noted.",Packaging
442356d5,2025-04-13,Injection Z,Tablet shows signs of mold.,Contamination
41e3ac10,2024-10-26,Vaccine A,Therapeutic effect not observed as expected.,Efficacy
6c318a05,2025-04-24,Vaccine A,Unclear sediment floating in solution.,Contamination
6fb6cf27,2024-11-14,Ointment C,Rash developed after second dose.,Adverse Reaction
bf225c53,2024-11-18,Vaccine A,Response time delayed significantly.,Efficacy
50b3cc8e,2024-09-06,Vaccine A,Label shows out-of-spec condition.,Temperature
b1bfb109,2025-01-02,Ointment C,Tablet shows signs of mold.,Contamination
a3cd40d4,2025-01-12,Ointment C,Patient experienced nausea post administration.,Adverse Reaction
50a79d47,2024-09-20,Vaccine A,Unclear sediment floating in solution.,Contamination
cd9092ff,2025-03-05,Ointment C,Unclear sediment floating in solution.,Contamination
691300eb,2024-12-23,Tablet X,Response time delayed significantly.,Efficacy
7b22a5dd,2024-09-24,Ointment C,Response time delayed significantly.,Efficacy
a67afeac,2024-10-19,Injection Z,"Liquid leaked from cap, contamination risk noted.",Packaging
68a99f5b,2024-08-12,Injection Z,Patient experienced nausea post administration.,Adverse Reaction
dfb3467e,2025-04-29,Ointment C,Response time delayed significantly.,Efficacy
017c518f,2025-04-30,Tablet X,Temperature logger flagged deviation.,Temperature
c3f56174,2024-08-22,Injection Z,Dose seemed sub-potent.,Efficacy
e9b23990,2025-05-26,Ointment C,Label shows out-of-spec condition.,Temperature
bf33062d,2024-12-06,Injection Z,Therapeutic effect not observed as expected.,Efficacy
8cd4df57,2025-01-25,Injection Z,Packaging seal broken on arrival.,Packaging
32c5261a,2024-12-27,Ointment C,Foreign particle seen in vial.,Contamination
17d4d40b,2025-04-30,Ointment C,Cold chain break suspected during transit.,Temperature
3141558d,2025-05-26,Vaccine A,Product received above storage temperature range.,Temperature
f6242179,2025-02-02,Ointment C,Visible black speck inside ampoule.,Contamination
31f9f830,2025-05-26,Tablet X,Label shows out-of-spec condition.,Temperature
8c054d32,2024-11-09,Tablet X,Therapeutic effect not observed as expected.,Efficacy
0a7863d6,2024-11-06,Tablet X,Dose seemed sub-potent.,Efficacy
14801f7b,2024-09-09,Vaccine A,"Vial cracked upon opening, leakage observed.",Packaging
dd978a88,2024-12-20,Ointment C,Patient reported no improvement after dosage.,Efficacy
5946c0d0,2025-04-16,Ointment C,Product received above storage temperature range.,Temperature
ad067f9a,2025-05-12,Tablet X,Foreign particle seen in vial.,Contamination
32bc0568,2025-03-05,Ointment C,"Outer carton damaged, inner contents intact.",Packaging
612cb8a2,2025-03-19,Injection Z,Unexpected allergic reaction occurred.,Adverse Reaction
3feae153,2024-12-30,Injection Z,Packaging seal broken on arrival.,Packaging
6a97a974,2025-01-09,Vaccine A,Therapeutic effect not observed as expected.,Efficacy
7427827d,2024-10-15,Tablet X,Patient fainted shortly after use.,Adverse Reaction
0410085d,2025-02-11,Ointment C,"Outer carton damaged, inner contents intact.",Packaging
1ef2d198,2024-07-14,Vaccine A,Dose seemed sub-potent.,Efficacy
67cb7069,2024-11-08,Vaccine A,Label shows out-of-spec condition.,Temperature
091e0889,2024-11-23,Tablet X,Cold chain break suspected during transit.,Temperature
0fb9e6ee,2024-12-28,Tablet X,Unexpected allergic reaction occurred.,Adverse Reaction
4d96a12d,2025-04-21,Ointment C,Unclear sediment floating in solution.,Contamination
0cfc8f83,2025-04-12,Tablet X,Visible black speck inside ampoule.,Contamination
65e3521e,2024-06-11,Tablet X,Packaging seal broken on arrival.,Packaging
956feb68,2024-08-25,Ointment C,"Outer carton damaged, inner contents intact.",Packaging
5ef3604f,2024-09-06,Tablet X,"Outer carton damaged, inner contents intact.",Packaging
f2d3f4a4,2024-12-26,Injection Z,Temperature logger flagged deviation.,Temperature
e4e5d2ba,2025-02-25,Tablet X,Packaging seal broken on arrival.,Packaging
4c76eec0,2024-09-21,Tablet X,"Outer carton damaged, inner contents intact.",Packaging
7d945d52,2025-04-04,Tablet X,Patient reported no improvement after dosage.,Efficacy
4a4061fc,2025-01-29,Vaccine A,Missing tamper-evident seal on multiple units.,Packaging
7fe1a6aa,2024-12-06,Vaccine A,Foreign particle seen in vial.,Contamination
7bd4720f,2024-07-15,Injection Z,Label shows out-of-spec condition.,Temperature
47fbbe34,2024-10-11,Ointment C,Unclear sediment floating in solution.,Contamination
71da046f,2025-02-11,Tablet X,Packaging seal broken on arrival.,Packaging
6b531666,2025-02-03,Tablet X,Unclear sediment floating in solution.,Contamination
42d10e73,2024-12-10,Injection Z,Label shows out-of-spec condition.,Temperature
59295a93,2024-07-31,Ointment C,Ineffective compared to prior lot.,Efficacy
3200c238,2024-07-12,Injection Z,Missing tamper-evident seal on multiple units.,Packaging
97087906,2025-02-03,Tablet X,Product received above storage temperature range.,Temperature
6ceb146e,2024-09-30,Vaccine A,Tablet shows signs of mold.,Contamination
1cf50fb9,2025-03-22,Vaccine A,Temperature logger flagged deviation.,Temperature
084df5bc,2024-11-17,Ointment C,Therapeutic effect not observed as expected.,Efficacy
af28a99c,2025-06-03,Tablet X,Patient reported no improvement after dosage.,Efficacy
2d81b058,2024-12-05,Tablet X,Patient fainted shortly after use.,Adverse Reaction
63df7d72,2025-03-24,Tablet X,Tablet shows signs of mold.,Contamination
5def5119,2024-10-29,Ointment C,Vaccine arrived warm to touch.,Temperature
2cfefbba,2024-08-10,Tablet X,Vaccine arrived warm to touch.,Temperature
